""	"Basal"	"Her2"	"LumA"	"LumB"	"Normal"	"Call"	"Confidence"	"ROR-S (Subtype Only)"	"ROR-S Group (Subtype Only)"	"Proliferation Score"	"ROR-P (Subtype + Proliferation)"	"ROR-P Group (Subtype + Proliferation)"	"ER"	"Her2"
"S62"	"-0.14593037214886"	"0.261752701080432"	"0.139495798319328"	"-0.0987755102040816"	"0.0479711884753902"	"Her2"	"0.93"	"36.8584972629052"	"med"	"-0.152488127852428"	"35.1164718472119"	"med"	"-1.88801790571515"	"-0.385044656569894"
"S63"	"0.782376950780312"	"-0.0912845138055222"	"-0.662617046818727"	"-0.276638655462185"	"0.0894597839135654"	"Basal"	"1"	"66.554893484189"	"high"	"0.594874473638809"	"69.8495778767343"	"high"	"-3.19995696237154"	"-1.80586109859499"
"S64"	"0.45462440295267"	"-0.116912722535823"	"-0.548849326964828"	"-0.0541684759009987"	"-0.131241858445506"	"Basal"	"1"	"63.5595469154045"	"high"	"0.89075243103111"	"81.478082450318"	"high"	NA	"-2.05268859155478"
"S65"	"-0.477166866746699"	"0.324561824729892"	"0.277599039615846"	"0.441632653061225"	"-0.370564225690276"	"LumB"	"1"	"39.4506112116941"	"med"	"-0.108768284921991"	"38.9969192769777"	"med"	"0.785453910701727"	"0.28549770051813"
"S66"	"-0.335614300560135"	"0.556988163141653"	"-0.0470119330731682"	"0.370525102750323"	"-0.388100554747033"	"Her2"	"1"	"55.8280069379113"	"high"	"0.285841127332571"	"59.8106492155281"	"high"	"0.495368938959752"	"-0.567984705048192"
"S67"	"-0.122551020408163"	"0.355510204081633"	"-0.289591836734694"	"0.647551020408163"	"-0.502857142857143"	"LumB"	"1"	"68.6163728973589"	"high"	"0.64536018591377"	"76.7880185547416"	"high"	"0.42954434574007"	"-1.25247158819347"
"S68"	"-0.520156546525595"	"-0.212153953337341"	"0.533890369670566"	"0.105452711980263"	"0.0670844438235097"	"LumA"	"1"	"15.1200387257123"	"low"	"-0.419908315844302"	"17.4184343174197"	"med"	"2.99710901567465"	"-0.239962726332753"
"S69"	"0.220552220888355"	"-0.153229291716687"	"0.073421368547419"	"-0.696422569027611"	"0.567442977190876"	"Normal"	"1"	"25.3326743124356"	"med"	"-0.343085193605451"	"21.3758803817996"	"med"	"-3.83020889037916"	"0.537102125621459"
"S70"	"-0.335204081632653"	"0.154081632653061"	"0.0830612244897959"	"0.605"	"-0.438979591836735"	"LumB"	"1"	"48.4493878304922"	"med"	"-0.223216821781022"	"36.1611562472175"	"med"	"3.1851124972605"	"0.618060978381794"
"S71"	"-0.623061224489796"	"0.0927551020408163"	"0.315510204081633"	"0.448163265306122"	"-0.297959183673469"	"LumB"	"1"	"33.8657133863145"	"med"	"0.152749236811369"	"47.1533526231849"	"med"	"0.74534610237898"	"-0.211886528146327"
"S72"	"-0.332917166866747"	"0.57109243697479"	"-0.0941656662665066"	"0.127779111644658"	"-0.287106842737095"	"Her2"	"1"	"53.9438461548761"	"high"	"0.0683353467743842"	"50.3816098211254"	"med"	"-3.95342937500153"	"2.54749725372192"
"S73"	"0.445762304921969"	"-0.570420168067227"	"0.0396158463385354"	"-0.777382953181273"	"0.83750300120048"	"Normal"	"1"	"20.3768258628628"	"low"	"-0.271079705061316"	"20.7293981995566"	"med"	"-0.973244806810092"	"-1.38836106530445"
"S74"	"-0.216134453781513"	"-0.296518607442977"	"0.466218487394958"	"-0.354333733493397"	"0.368931572629052"	"LumA"	"1"	"10.5054559509074"	"low"	"-0.540356999767615"	"9.98933242023022"	"low"	"-0.718504018655246"	"1.37540167796561"
"S75"	"-0.411726572185234"	"-0.280486926537666"	"0.594251963003531"	"0.149295301250746"	"0.124564815517669"	"LumA"	"1"	"12.8857807298618"	"low"	"-0.416004891848843"	"16.5843212019001"	"med"	"1.38446806922818"	"0.141907148902638"
"S76"	"-0.243169904409497"	"0.200740055504163"	"-0.110946654332408"	"0.783040394696269"	"-0.476534073388837"	"LumB"	"1"	"60.609016392302"	"high"	"0.366112600759263"	"63.2064999200661"	"high"	"1.84411729055891"	"0.0256351768113882"
"S77"	"-0.372869147659064"	"-0.284417767106843"	"0.602689075630252"	"-0.119711884753902"	"0.31937575030012"	"LumA"	"1"	"8.17263961307816"	"low"	"-0.708949970566943"	"3.2253150870306"	"low"	"1.64500888466008"	"0.474503283867255"
"S78"	"-0.597791116446579"	"-0.242545018007203"	"0.754621848739496"	"-0.0279951980792317"	"0.221896758703481"	"LumA"	"1"	"2.90819113910035"	"low"	"-0.738590598219058"	"1.24224430358779"	"low"	"2.64667376974984"	"0.361435053892582"
"S79"	"-0.584088806660499"	"-0.0899784150477952"	"0.534875115633672"	"0.250940487203207"	"-0.0133826703669442"	"LumA"	"1"	"18.9872723171356"	"low"	"-0.63859627127531"	"10.5449121112839"	"low"	"1.33403924873357"	"1.58745829420785"
"S80"	"-0.190408163265306"	"-0.456428571428571"	"0.714183673469388"	"-0.47030612244898"	"0.670306122448979"	"LumA"	"1"	"-3.93079791092437"	"low"	"-0.874517188863463"	"-8.0728499077734"	"low"	"0.188726343715694"	"0.853962736905058"
"S81"	"-0.478511404561825"	"0.00292917166866747"	"0.302472989195678"	"0.346746698679472"	"-0.250228091236495"	"LumB"	"0.99"	"32.1088187431396"	"med"	"-0.152189237066742"	"33.8189424366049"	"med"	"2.13629847797094"	"1.32815536837527"
"S82"	"-0.345690276110444"	"-0.573877551020408"	"0.752605042016807"	"-0.288739495798319"	"0.521440576230492"	"LumA"	"1"	"-4.97919489736601"	"low"	"-0.685231230487723"	"-0.850106673012584"	"low"	"3.21538191328243"	"0.172695890887348"
"S83"	"-0.496160843925189"	"-0.254340251130824"	"0.651145579883424"	"0.0903512288813427"	"0.056677665079832"	"LumA"	"1"	"9.50697733165317"	"low"	"-0.550869628177787"	"10.4564469396175"	"low"	"1.85685608679598"	"0.842307424870177"
"S84"	"-0.520768307322929"	"-0.293733493397359"	"0.844033613445378"	"-0.297959183673469"	"0.42530612244898"	"LumA"	"1"	"-5.68172753579549"	"low"	"-0.82518427208071"	"-5.19990712607966"	"low"	"0.682433160410572"	"0.727648300468591"
"S85"	"0.356057316543639"	"0.046461137646548"	"-0.0265957446808511"	"-0.493161094224924"	"0.362462006079027"	"Normal"	"0.99"	"36.4776187428163"	"med"	"-0.250980514109695"	"28.9552014241013"	"med"	"-3.8415291072962"	"-0.344553596202203"
"S86"	"-0.0727490996398559"	"0.225834333733493"	"-0.220072028811525"	"0.443169267707083"	"-0.309483793517407"	"LumB"	"1"	"60.6616782367912"	"high"	"0.42460741440801"	"64.9701535167887"	"high"	"-0.0283657422623187"	"0.180826959847862"
"S87"	"-0.657623049219688"	"0.060360144057623"	"0.575414165666266"	"0.218151260504202"	"-0.0316446578631453"	"LumA"	"1"	"18.5992833916814"	"low"	"-0.326159355040176"	"23.5760029893904"	"med"	"-0.00247880971155855"	"1.29088782671169"
"S88"	"0.245138055222089"	"0.446530612244898"	"-0.487539015606243"	"0.17781512605042"	"-0.233997599039616"	"Her2"	"1"	"72.1235240171739"	"high"	"0.42605296986519"	"68.2439188735401"	"high"	"-3.8138940204346"	"-0.675571382137935"
"S89"	"-0.194591836734694"	"0.358979591836735"	"0.00285714285714286"	"0.167959183673469"	"-0.220102040816327"	"Her2"	"0.99"	"48.1678652992797"	"med"	"0.135690284455569"	"50.4684935612765"	"med"	"0.476476548393695"	"-0.88863559071915"
"S90"	"-0.15937575030012"	"0.256662665066026"	"-0.0459543817527011"	"0.390636254501801"	"-0.319567827130852"	"LumB"	"0.99"	"52.5885257891392"	"med"	"0.281779009751755"	"57.2884907301902"	"high"	"2.58638106361973"	"0.498868467556145"
"S91"	"0.148061224489796"	"-0.263469387755102"	"0.0728571428571429"	"-0.174795918367347"	"0.201632653061224"	"Normal"	"0.84"	"32.1024984146459"	"med"	"-0.313798602970182"	"24.6870313314947"	"med"	"0.730843014369174"	"0.518075840463009"
"S92"	"0.735798319327731"	"-0.179159663865546"	"-0.480720288115246"	"-0.352412965186074"	"0.184633853541417"	"Basal"	"1"	"56.2279815772897"	"high"	"0.149372809992588"	"48.9207981281261"	"med"	"-2.6442921238358"	"-1.03356669767625"
"S93"	"-0.418069688559975"	"-0.0704902867715079"	"0.271168670983657"	"0.320505704594511"	"-0.138452050570459"	"LumB"	"0.97"	"32.1902422631913"	"med"	"-0.179038353041892"	"32.3431736189342"	"med"	"2.6421940494601"	"-1.86412815323648"
"S94"	"-0.21171668667467"	"0.269915966386555"	"0.234861944777911"	"0.0145498199279712"	"-0.032797118847539"	"Her2"	"0.94"	"34.5940774498411"	"med"	"-0.308778177173992"	"28.5563115384322"	"med"	"-1.07760785239972"	"-0.731888237714885"
"S95"	"0.348979591836735"	"-0.202857142857143"	"-0.276530612244898"	"-0.44469387755102"	"0.247244897959184"	"Basal"	"0.99"	"43.9569592211285"	"med"	"0.327974371038581"	"53.0614073929082"	"high"	"-3.33824444422893"	"-1.18379256488166"
"S96"	"-0.30185598702547"	"-0.239813681069869"	"0.530192801900766"	"-0.0530144781540119"	"0.280102763652492"	"LumA"	"1"	"13.2991001749786"	"low"	"-0.587924147293815"	"9.59943238047063"	"low"	"0.226916960522257"	"0.465700208981788"
"S97"	"-0.512701080432173"	"0.218343337334934"	"0.304777911164466"	"0.354045618247299"	"-0.293733493397359"	"LumB"	"0.99"	"35.1254496895417"	"med"	"-0.124705525401532"	"36.6882506439658"	"med"	"0.653401203901053"	"0.0236378841701058"
